                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7535,                 1.2936,                 1.9341,                 0.8957,                0.90196,                0.93539,                0.50666,                 1.6044,                 1.1986,                 2.0692,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.7543,                 1.2467,                 1.9974,                0.86486,                0.91503,                0.95346,                0.58509,                 1.4426,                 1.1495,                 1.9312,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7974,                 1.2717,                 1.9508,                0.89111,                0.85621,                0.94273,                0.57871,                 1.3948,                 1.1625,                  1.911,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6283,                 1.2814,                  1.883,                0.91868,                0.88889,                0.96123,                0.60836,                 1.4046,                 1.0933,                 1.9147,               0.001307,               0.001307,               0.001307
                     38,                 1.6215,                 1.1075,                 1.7978,                0.89097,                0.90794,                0.95411,                0.55569,                   1.45,                 1.0725,                 1.9682,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6606,                  1.205,                 1.9085,                0.89244,                0.82353,                 0.9384,                0.58028,                 1.4762,                 1.1945,                 1.9679,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6228,                 1.1487,                 1.7875,                0.93298,                0.81883,                0.93942,                0.60074,                 1.3364,                 1.1253,                 1.8708,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.5767,                 1.2075,                 1.7923,                0.92268,                0.90196,                0.95666,                0.60116,                 1.3652,                 1.0798,                 1.8821,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5959,                 1.1846,                 1.8045,                0.92931,                0.85918,                0.95366,                0.61771,                 1.3242,                 1.0719,                 1.8422,               0.001208,               0.001208,               0.001208
                     43,                 1.5749,                 1.1523,                 1.7859,                0.89424,                0.88427,                0.95499,                0.61373,                 1.3682,                 1.1036,                 1.8845,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5595,                 1.1236,                 1.7371,                0.94014,                0.90196,                0.96707,                 0.6485,                 1.2874,                 1.0877,                  1.801,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5812,                 1.1172,                  1.771,                0.93773,                0.88577,                0.96227,                0.63607,                 1.2757,                 1.0568,                 1.7887,              0.0011486,              0.0011486,              0.0011486
